"No.","Time","Source","Destination","Protocol","Length","Info"
"107","48.639137","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=214 Ack=93 Win=64256 Len=0 TSval=3504560651 TSecr=1728613782"
"108","49.636623","172.19.0.9","172.19.0.8","TCP","78","49258  >  8088 [PSH, ACK] Seq=214 Ack=93 Win=64256 Len=12 TSval=3504561649 TSecr=1728613782"
"109","49.637273","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=93 Ack=226 Win=65152 Len=4 TSval=1728614780 TSecr=3504561649 [TCP segment of a reassembled PDU]"
"110","49.637428","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=226 Ack=97 Win=64256 Len=0 TSval=3504561649 TSecr=1728614780"
"111","49.637739","172.19.0.9","172.19.0.8","TCP","70","49258  >  8088 [PSH, ACK] Seq=226 Ack=97 Win=64256 Len=4 TSval=3504561650 TSecr=1728614780 [TCP segment of a reassembled PDU]"
"112","49.637998","172.19.0.8","172.19.0.7","TCP","76","8088  >  35696 [PSH, ACK] Seq=113 Ack=3 Win=509 Len=10 TSval=2488295739 TSecr=2826623049 [TCP segment of a reassembled PDU]"
"113","49.638195","172.19.0.7","172.19.0.8","TCP","66","35696  >  8088 [ACK] Seq=3 Ack=123 Win=502 Len=0 TSval=2826624048 TSecr=2488295739"
"114","49.638243","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=97 Ack=230 Win=65152 Len=4 TSval=1728614781 TSecr=3504561650 [TCP segment of a reassembled PDU]"
"115","49.638332","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=230 Ack=101 Win=64256 Len=0 TSval=3504561650 TSecr=1728614781"
"116","50.637481","172.19.0.9","172.19.0.8","TCP","78","49258  >  8088 [PSH, ACK] Seq=230 Ack=101 Win=64256 Len=12 TSval=3504562649 TSecr=1728614781"
"117","50.638471","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=101 Ack=242 Win=65152 Len=4 TSval=1728615781 TSecr=3504562649 [TCP segment of a reassembled PDU]"
"118","50.638643","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=242 Ack=105 Win=64256 Len=0 TSval=3504562650 TSecr=1728615781"
"119","50.640032","172.19.0.9","172.19.0.8","TCP","70","49258  >  8088 [PSH, ACK] Seq=242 Ack=105 Win=64256 Len=4 TSval=3504562652 TSecr=1728615781 [TCP segment of a reassembled PDU]"
"120","50.640860","172.19.0.8","172.19.0.7","TCP","76","8088  >  35696 [PSH, ACK] Seq=123 Ack=3 Win=509 Len=10 TSval=2488296742 TSecr=2826624048 [TCP segment of a reassembled PDU]"
"121","50.640988","172.19.0.7","172.19.0.8","TCP","66","35696  >  8088 [ACK] Seq=3 Ack=133 Win=502 Len=0 TSval=2826625051 TSecr=2488296742"
"122","50.641091","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=105 Ack=246 Win=65152 Len=4 TSval=1728615784 TSecr=3504562652"
"123","50.641259","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=246 Ack=109 Win=64256 Len=0 TSval=3504562653 TSecr=1728615784"
"124","51.640556","172.19.0.9","172.19.0.8","TCP","78","49258  >  8088 [PSH, ACK] Seq=246 Ack=109 Win=64256 Len=12 TSval=3504563653 TSecr=1728615784"
"125","51.641666","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=109 Ack=258 Win=65152 Len=4 TSval=1728616785 TSecr=3504563653 [TCP segment of a reassembled PDU]"
"126","51.641864","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=258 Ack=113 Win=64256 Len=0 TSval=3504563654 TSecr=1728616785"
"127","51.642863","172.19.0.9","172.19.0.8","TCP","70","49258  >  8088 [PSH, ACK] Seq=258 Ack=113 Win=64256 Len=4 TSval=3504563655 TSecr=1728616785 [TCP segment of a reassembled PDU]"
"128","51.644123","172.19.0.8","172.19.0.7","TCP","76","8088  >  35696 [PSH, ACK] Seq=133 Ack=3 Win=509 Len=10 TSval=2488297745 TSecr=2826625051 [TCP segment of a reassembled PDU]"
"129","51.644311","172.19.0.7","172.19.0.8","TCP","66","35696  >  8088 [ACK] Seq=3 Ack=143 Win=502 Len=0 TSval=2826626054 TSecr=2488297745"
"130","51.644585","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=113 Ack=262 Win=65152 Len=4 TSval=1728616788 TSecr=3504563655 [TCP segment of a reassembled PDU]"
"131","51.644712","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=262 Ack=117 Win=64256 Len=0 TSval=3504563657 TSecr=1728616788"
"132","52.640612","172.19.0.9","172.19.0.8","TCP","78","49258  >  8088 [PSH, ACK] Seq=262 Ack=117 Win=64256 Len=12 TSval=3504564653 TSecr=1728616788"
"133","52.641874","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=117 Ack=274 Win=65152 Len=4 TSval=1728617785 TSecr=3504564653 [TCP segment of a reassembled PDU]"
"134","52.641987","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=274 Ack=121 Win=64256 Len=0 TSval=3504564654 TSecr=1728617785"
"135","52.642361","172.19.0.9","172.19.0.8","TCP","70","49258  >  8088 [PSH, ACK] Seq=274 Ack=121 Win=64256 Len=4 TSval=3504564654 TSecr=1728617785 [TCP segment of a reassembled PDU]"
"136","52.642723","172.19.0.8","172.19.0.7","TCP","76","8088  >  35696 [PSH, ACK] Seq=143 Ack=3 Win=509 Len=10 TSval=2488298744 TSecr=2826626054 [TCP segment of a reassembled PDU]"
"137","52.642871","172.19.0.7","172.19.0.8","TCP","66","35696  >  8088 [ACK] Seq=3 Ack=153 Win=502 Len=0 TSval=2826627053 TSecr=2488298744"
"138","52.643410","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=121 Ack=278 Win=65152 Len=4 TSval=1728617786 TSecr=3504564654 [TCP segment of a reassembled PDU]"
"139","52.643525","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=278 Ack=125 Win=64256 Len=0 TSval=3504564655 TSecr=1728617786"
"140","53.641370","172.19.0.9","172.19.0.8","TCP","78","49258  >  8088 [PSH, ACK] Seq=278 Ack=125 Win=64256 Len=12 TSval=3504565653 TSecr=1728617786"
"141","53.642286","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=125 Ack=290 Win=65152 Len=4 TSval=1728618785 TSecr=3504565653 [TCP segment of a reassembled PDU]"
"142","53.642433","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=290 Ack=129 Win=64256 Len=0 TSval=3504565654 TSecr=1728618785"
"143","53.642620","172.19.0.9","172.19.0.8","TCP","70","49258  >  8088 [PSH, ACK] Seq=290 Ack=129 Win=64256 Len=4 TSval=3504565655 TSecr=1728618785 [TCP segment of a reassembled PDU]"
"144","53.642908","172.19.0.8","172.19.0.7","TCP","76","8088  >  35696 [PSH, ACK] Seq=153 Ack=3 Win=509 Len=10 TSval=2488299744 TSecr=2826627053 [TCP segment of a reassembled PDU]"
"145","53.643164","172.19.0.7","172.19.0.8","TCP","66","35696  >  8088 [ACK] Seq=3 Ack=163 Win=502 Len=0 TSval=2826628053 TSecr=2488299744"
"146","53.643498","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=129 Ack=294 Win=65152 Len=4 TSval=1728618786 TSecr=3504565655 [TCP segment of a reassembled PDU]"
